,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long,Location,DAY,Hour,OFFENSE_CATEGORY,District_Names
10783,ASSAULT - SIMPLE,B3,0,2022-03-12 02:44:00,2022,3,Saturday,2,42.28187557863393,-71.08550537672407,"(42.28187557863393, -71.08550537672407)",12,02:44:00,ASSAULT,Mattapan
10784,MISSING PERSON - NOT REPORTED - LOCATED,B3,0,2022-03-11 23:01:00,2022,3,Friday,23,42.28524659144394,-71.08905093539849,"(42.28524659144394, -71.08905093539849)",11,23:01:00,MISSING PERSON - KIDNAPPING,Mattapan
10785,INVESTIGATE PERSON,B3,0,2022-03-11 22:41:00,2022,3,Friday,22,42.29611582635473,-71.09121958234245,"(42.29611582635473, -71.09121958234245)",11,22:41:00,WARRANT-INVESTIGATION,Mattapan
10786,MISSING PERSON,B3,0,2022-03-11 19:15:00,2022,3,Friday,19,42.27277290393407,-71.07725240654449,"(42.27277290393407, -71.07725240654449)",11,19:15:00,MISSING PERSON - KIDNAPPING,Mattapan
10787,M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2022-03-11 20:06:00,2022,3,Friday,20,42.27354896472034,-71.10839004681084,"(42.27354896472034, -71.10839004681084)",11,20:06:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10788,INVESTIGATE PERSON,B3,0,2022-03-11 20:31:00,2022,3,Friday,20,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,20:31:00,WARRANT-INVESTIGATION,Mattapan
10789,INVESTIGATE PERSON,B3,0,2022-03-11 20:30:00,2022,3,Friday,20,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,20:30:00,WARRANT-INVESTIGATION,Mattapan
10790,VANDALISM,B3,0,2022-02-28 08:06:00,2022,2,Monday,8,42.30302875032205,-71.08071459975174,"(42.30302875032205, -71.08071459975174)",28,08:06:00,THEFT-DAMAGE,Mattapan
10791,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,0,2022-03-11 18:20:00,2022,3,Friday,18,42.295976576823016,-71.07933989544382,"(42.295976576823016, -71.07933989544382)",11,18:20:00,THEFT-DAMAGE,Mattapan
10792,INVESTIGATE PERSON,B3,0,2022-03-08 08:00:00,2022,3,Tuesday,8,42.296933907049706,-71.0806657644263,"(42.296933907049706, -71.0806657644263)",08,08:00:00,WARRANT-INVESTIGATION,Mattapan
10793,BALLISTICS EVIDENCE/FOUND,B3,1,2022-03-11 18:14:00,2022,3,Friday,18,42.30129234188234,-71.0780697977178,"(42.30129234188234, -71.0780697977178)",11,18:14:00,ARMS RELATED,Mattapan
10794,INVESTIGATE PERSON,B3,0,2022-03-11 16:56:00,2022,3,Friday,16,42.29005879963616,-71.08271513085845,"(42.29005879963616, -71.08271513085845)",11,16:56:00,WARRANT-INVESTIGATION,Mattapan
10795,M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2022-03-09 09:00:00,2022,3,Wednesday,9,42.29406247037478,-71.09004552759154,"(42.29406247037478, -71.09004552759154)",09,09:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10796,INVESTIGATE PERSON,B3,0,2022-03-11 00:00:00,2022,3,Friday,0,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,00:00:00,WARRANT-INVESTIGATION,Mattapan
10797,SICK ASSIST,B3,0,2022-03-11 12:30:00,2022,3,Friday,12,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,12:30:00,SICK-INJURED,Mattapan
10798,FRAUD - IMPERSONATION,B3,0,2022-03-11 13:00:00,2022,3,Friday,13,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,13:00:00,FRAUD - FINANCIAL,Mattapan
10799,INVESTIGATE PERSON,B3,0,2022-03-11 12:00:00,2022,3,Friday,12,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,12:00:00,WARRANT-INVESTIGATION,Mattapan
10800,INVESTIGATE PROPERTY,B3,0,2022-03-11 11:15:00,2022,3,Friday,11,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",11,11:15:00,WARRANT-INVESTIGATION,Mattapan
10801,INVESTIGATE PROPERTY,B3,0,2022-03-11 10:50:00,2022,3,Friday,10,42.28188660350516,-71.09087049693386,"(42.28188660350516, -71.09087049693386)",11,10:50:00,WARRANT-INVESTIGATION,Mattapan
10802,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-11 09:04:00,2022,3,Friday,9,42.296798976386775,-71.07846596602182,"(42.296798976386775, -71.07846596602182)",11,09:04:00,THEFT-DAMAGE,Mattapan
10803,TOWED MOTOR VEHICLE,B3,0,2022-03-11 08:03:00,2022,3,Friday,8,42.30273607097931,-71.08248543959975,"(42.30273607097931, -71.08248543959975)",11,08:03:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10804,SICK ASSIST,B3,0,2022-03-11 06:32:00,2022,3,Friday,6,42.2904153812114,-71.07269541581304,"(42.290415381211396, -71.07269541581304)",11,06:32:00,SICK-INJURED,Mattapan
10805,INVESTIGATE PROPERTY,B3,0,2022-03-11 01:11:00,2022,3,Friday,1,42.27261382345293,-71.07295923322583,"(42.27261382345293, -71.07295923322583)",11,01:11:00,WARRANT-INVESTIGATION,Mattapan
10806,INVESTIGATE PERSON,B3,0,2022-03-10 22:58:00,2022,3,Thursday,22,42.3002168413442,-71.08097940099773,"(42.3002168413442, -71.08097940099773)",10,22:58:00,WARRANT-INVESTIGATION,Mattapan
10807,ROBBERY,B3,0,2022-03-10 20:22:00,2022,3,Thursday,20,42.28297379140311,-71.08194011136256,"(42.28297379140311, -71.08194011136256)",10,20:22:00,THEFT-DAMAGE,Mattapan
10808,ROBBERY,B3,0,2022-03-10 19:51:00,2022,3,Thursday,19,42.27791464599671,-71.09452936620902,"(42.27791464599671, -71.09452936620902)",10,19:51:00,THEFT-DAMAGE,Mattapan
10809,LARCENY ALL OTHERS,B3,0,2022-03-10 15:18:00,2022,3,Thursday,15,42.28881221925629,-71.08513152352724,"(42.28881221925629, -71.08513152352724)",10,15:18:00,THEFT-DAMAGE,Mattapan
10810,INVESTIGATE PERSON,B3,0,2022-03-10 17:23:00,2022,3,Thursday,17,42.29710451789226,-71.08807731110888,"(42.29710451789226, -71.08807731110888)",10,17:23:00,WARRANT-INVESTIGATION,Mattapan
10811,INVESTIGATE PERSON,B3,0,2022-03-10 16:05:00,2022,3,Thursday,16,42.29997396716689,-71.0820610301116,"(42.29997396716689, -71.0820610301116)",10,16:05:00,WARRANT-INVESTIGATION,Mattapan
10813,INVESTIGATE PERSON,B3,0,2022-03-10 13:27:00,2022,3,Thursday,13,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",10,13:27:00,WARRANT-INVESTIGATION,Mattapan
10814,M/V ACCIDENT - OTHER,B3,0,2022-03-09 15:20:00,2022,3,Wednesday,15,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",09,15:20:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10815,VANDALISM,B3,0,2022-03-09 21:30:00,2022,3,Wednesday,21,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",09,21:30:00,THEFT-DAMAGE,Mattapan
10816,M/V ACCIDENT - PERSONAL INJURY,B3,0,2022-03-10 09:50:00,2022,3,Thursday,9,42.301275983933344,-71.08574099219791,"(42.301275983933344, -71.08574099219791)",10,09:50:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10817,INVESTIGATE PROPERTY,B3,0,2022-03-07 00:00:00,2022,3,Monday,0,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",07,00:00:00,WARRANT-INVESTIGATION,Mattapan
10818,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B3,0,2022-03-10 08:18:00,2022,3,Thursday,8,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",10,08:18:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10819,INVESTIGATE PERSON,B3,0,2022-03-10 08:34:00,2022,3,Thursday,8,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",10,08:34:00,WARRANT-INVESTIGATION,Mattapan
10820,LARCENY THEFT FROM BUILDING,B3,0,2022-02-08 12:00:00,2022,2,Tuesday,12,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",08,12:00:00,SICK-INJURED,Mattapan
10821,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-09 22:53:00,2022,3,Wednesday,22,42.28372700458942,-71.0843630101687,"(42.28372700458942, -71.0843630101687)",09,22:53:00,THEFT-DAMAGE,Mattapan
10822,INVESTIGATE PERSON,B3,0,2022-03-09 21:35:00,2022,3,Wednesday,21,42.28187060713829,-71.08751151911808,"(42.28187060713829, -71.08751151911808)",09,21:35:00,WARRANT-INVESTIGATION,Mattapan
10823,SICK ASSIST,B3,0,2022-03-09 18:26:00,2022,3,Wednesday,18,42.2923141181546,-71.07912028747151,"(42.2923141181546, -71.07912028747151)",09,18:26:00,SICK-INJURED,Mattapan
10824,PROPERTY - LOST/ MISSING,B3,0,2022-03-09 19:26:00,2022,3,Wednesday,19,42.28976255154329,-71.090898432037,"(42.28976255154329, -71.090898432037)",09,19:26:00,PROPERTY LOSS,Mattapan
10826,VAL - OPERATING AFTER REV/SUSP.,B3,0,2022-03-09 17:21:00,2022,3,Wednesday,17,42.29485997704301,-71.08783999836773,"(42.29485997704301, -71.08783999836773)",09,17:21:00,UNLAWFUL OPERATION,Mattapan
10827,SICK ASSIST - DRUG RELATED ILLNESS,B3,0,2022-03-09 17:54:00,2022,3,Wednesday,17,42.29648008044602,-71.08001594293955,"(42.29648008044602, -71.08001594293955)",09,17:54:00,,Mattapan
10828,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-09 17:50:00,2022,3,Wednesday,17,42.27141481952341,-71.08014338104022,"(42.27141481952341, -71.08014338104022)",09,17:50:00,THEFT-DAMAGE,Mattapan
10829,MISSING PERSON - LOCATED,B3,0,2022-03-09 13:13:00,2022,3,Wednesday,13,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",09,13:13:00,MISSING PERSON - KIDNAPPING,Mattapan
10830,TOWED MOTOR VEHICLE,B3,0,2022-03-09 11:51:00,2022,3,Wednesday,11,42.286863004875926,-71.08850702436001,"(42.286863004875926, -71.08850702436001)",09,11:51:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10831,MISSING PERSON - LOCATED,B3,0,2022-03-07 07:40:00,2022,3,Monday,7,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",07,07:40:00,MISSING PERSON - KIDNAPPING,Mattapan
10832,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",B3,0,2022-03-09 09:34:00,2022,3,Wednesday,9,42.287515762440655,-71.09027098972015,"(42.287515762440655, -71.09027098972015)",09,09:34:00,ANIMAL RELATED,Mattapan
10833,INVESTIGATE PERSON,B3,0,2022-03-09 06:24:00,2022,3,Wednesday,6,42.28414024982017,-71.09305137909429,"(42.28414024982017, -71.09305137909429)",09,06:24:00,WARRANT-INVESTIGATION,Mattapan
10834,M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2022-03-08 22:15:00,2022,3,Tuesday,22,42.27012223134193,-71.0884875422258,"(42.27012223134193, -71.0884875422258)",08,22:15:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10835,MISSING PERSON - LOCATED,B3,0,2022-03-08 18:42:00,2022,3,Tuesday,18,42.29603943268038,-71.0771702275424,"(42.29603943268038, -71.0771702275424)",08,18:42:00,MISSING PERSON - KIDNAPPING,Mattapan
10836,LANDLORD - TENANT,B3,0,2022-03-08 17:40:00,2022,3,Tuesday,17,42.30197419993152,-71.08383388128998,"(42.301974199931514, -71.08383388128998)",08,17:40:00,DISTURBANCE,Mattapan
10837,ASSAULT - SIMPLE,B3,0,2022-03-08 16:05:00,2022,3,Tuesday,16,42.278559838055365,-71.09199697424748,"(42.278559838055365, -71.09199697424748)",08,16:05:00,ASSAULT,Mattapan
10838,INVESTIGATE PROPERTY,B3,0,2022-03-06 18:00:00,2022,3,Sunday,18,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",06,18:00:00,WARRANT-INVESTIGATION,Mattapan
10839,SICK ASSIST,B3,0,2022-03-08 13:43:00,2022,3,Tuesday,13,42.27754320343405,-71.07795018508807,"(42.27754320343405, -71.07795018508807)",08,13:43:00,SICK-INJURED,Mattapan
10840,TOWED MOTOR VEHICLE,B3,0,2022-03-08 12:07:00,2022,3,Tuesday,12,42.28351000082394,-71.0918110095984,"(42.28351000082394, -71.0918110095984)",08,12:07:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10841,INVESTIGATE PERSON,B3,0,2022-03-04 13:01:00,2022,3,Friday,13,42.29385182824426,-71.09373071262159,"(42.293851828244264, -71.09373071262159)",04,13:01:00,WARRANT-INVESTIGATION,Mattapan
10842,HARASSMENT/ CRIMINAL HARASSMENT,B3,0,2022-03-04 21:00:00,2022,3,Friday,21,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",04,21:00:00,HARASSMENT-VERBAL,Mattapan
10843,INVESTIGATE PERSON,B3,0,2022-03-08 10:51:00,2022,3,Tuesday,10,42.281641456853706,-71.08851499031779,"(42.281641456853706, -71.08851499031779)",08,10:51:00,WARRANT-INVESTIGATION,Mattapan
10844,VERBAL DISPUTE,B3,0,2022-03-08 10:44:00,2022,3,Tuesday,10,42.284274030598105,-71.08109197037501,"(42.284274030598105, -71.08109197037501)",08,10:44:00,HARASSMENT-VERBAL,Mattapan
10845,PROPERTY - LOST/ MISSING,B3,0,2022-03-02 00:00:00,2022,3,Wednesday,0,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",02,00:00:00,PROPERTY LOSS,Mattapan
10846,PROPERTY - ACCIDENTAL DAMAGE,B3,0,2022-03-08 08:43:00,2022,3,Tuesday,8,42.29691612057561,-71.08363893954082,"(42.29691612057561, -71.08363893954082)",08,08:43:00,THEFT-DAMAGE,Mattapan
10847,PROPERTY - LOST/ MISSING,B3,0,2022-03-07 21:00:00,2022,3,Monday,21,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",07,21:00:00,PROPERTY LOSS,Mattapan
10848,INVESTIGATE PROPERTY,B3,0,2022-03-08 06:27:00,2022,3,Tuesday,6,42.29299658256949,-71.08970587758817,"(42.29299658256949, -71.08970587758817)",08,06:27:00,WARRANT-INVESTIGATION,Mattapan
10849,VANDALISM,B3,0,2022-03-08 01:15:00,2022,3,Tuesday,1,42.28874109797319,-71.091177966277,"(42.28874109797319, -71.091177966277)",08,01:15:00,THEFT-DAMAGE,Mattapan
10850,SICK ASSIST,B3,0,2022-03-08 01:41:00,2022,3,Tuesday,1,42.2928107904335,-71.07327594083033,"(42.2928107904335, -71.07327594083033)",08,01:41:00,SICK-INJURED,Mattapan
10851,SICK ASSIST,B3,0,2022-03-07 19:57:00,2022,3,Monday,19,42.29742411406283,-71.07531357538068,"(42.29742411406283, -71.07531357538068)",07,19:57:00,SICK-INJURED,Mattapan
10852,SICK ASSIST,B3,0,2022-03-07 17:33:00,2022,3,Monday,17,42.27791464599671,-71.09452936620902,"(42.27791464599671, -71.09452936620902)",07,17:33:00,SICK-INJURED,Mattapan
10853,PROPERTY - LOST/ MISSING,B3,0,2022-03-07 16:41:00,2022,3,Monday,16,42.29752097279298,-71.08502291448018,"(42.29752097279298, -71.08502291448018)",07,16:41:00,PROPERTY LOSS,Mattapan
10854,DEATH INVESTIGATION,B3,0,2022-03-07 15:28:00,2022,3,Monday,15,42.26894762286374,-71.09608343630367,"(42.26894762286374, -71.09608343630367)",07,15:28:00,DEATH,Mattapan
10855,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,0,2022-03-07 15:01:00,2022,3,Monday,15,42.28162002856887,-71.08695998840129,"(42.28162002856887, -71.08695998840129)",07,15:01:00,DRUG ALCOHOL RELATED,Mattapan
10856,INVESTIGATE PERSON,B3,0,2022-03-07 14:20:00,2022,3,Monday,14,42.28405587837074,-71.09045321700486,"(42.284055878370744, -71.09045321700486)",07,14:20:00,WARRANT-INVESTIGATION,Mattapan
10857,FORGERY / COUNTERFEITING,B3,0,2022-01-10 11:00:00,2022,1,Monday,11,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",10,11:00:00,FRAUD - FINANCIAL,Mattapan
10858,INVESTIGATE PROPERTY,B3,0,2022-03-07 12:33:00,2022,3,Monday,12,42.2889291463195,-71.09507767656554,"(42.2889291463195, -71.09507767656554)",07,12:33:00,WARRANT-INVESTIGATION,Mattapan
10859,ASSAULT - AGGRAVATED,B3,0,2022-03-07 11:21:00,2022,3,Monday,11,42.27615691256162,-71.0955030303829,"(42.27615691256162, -71.0955030303829)",07,11:21:00,ASSAULT,Mattapan
10860,INVESTIGATE PERSON,B3,0,2022-03-04 17:00:00,2022,3,Friday,17,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",04,17:00:00,WARRANT-INVESTIGATION,Mattapan
10861,INVESTIGATE PROPERTY,B3,0,2022-03-07 10:21:00,2022,3,Monday,10,42.27277290393407,-71.07725240654449,"(42.27277290393407, -71.07725240654449)",07,10:21:00,WARRANT-INVESTIGATION,Mattapan
10862,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-07 05:20:00,2022,3,Monday,5,42.272763851134656,-71.0763063800883,"(42.272763851134656, -71.0763063800883)",07,05:20:00,THEFT-DAMAGE,Mattapan
10863,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,0,2022-03-06 18:00:00,2022,3,Sunday,18,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",06,18:00:00,THEFT-DAMAGE,Mattapan
10864,HARASSMENT/ CRIMINAL HARASSMENT,B3,0,2022-03-06 00:00:00,2022,3,Sunday,0,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",06,00:00:00,HARASSMENT-VERBAL,Mattapan
10865,M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2022-03-07 08:30:00,2022,3,Monday,8,42.29638695483996,-71.08047097959776,"(42.29638695483996, -71.08047097959776)",07,08:30:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10866,ASSAULT - SIMPLE,B3,0,2022-03-07 08:37:00,2022,3,Monday,8,42.27791464599671,-71.09452936620902,"(42.27791464599671, -71.09452936620902)",07,08:37:00,ASSAULT,Mattapan
10867,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-07 07:24:00,2022,3,Monday,7,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",07,07:24:00,THEFT-DAMAGE,Mattapan
10868,BALLISTICS EVIDENCE/FOUND,B3,1,2022-03-07 07:27:00,2022,3,Monday,7,42.2833167633756,-71.08906431284453,"(42.2833167633756, -71.08906431284453)",07,07:27:00,ARMS RELATED,Mattapan
10869,INVESTIGATE PROPERTY,B3,0,2022-03-07 04:01:00,2022,3,Monday,4,42.29946189430733,-71.08360148305883,"(42.29946189430733, -71.08360148305883)",07,04:01:00,WARRANT-INVESTIGATION,Mattapan
10870,M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2022-03-06 23:24:00,2022,3,Sunday,23,42.28623708270512,-71.07768279210775,"(42.286237082705114, -71.07768279210775)",06,23:24:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10871,INVESTIGATE PERSON,B3,0,2022-03-06 23:22:00,2022,3,Sunday,23,42.27277290393407,-71.07725240654449,"(42.27277290393407, -71.07725240654449)",06,23:22:00,WARRANT-INVESTIGATION,Mattapan
10872,FRAUD - FALSE PRETENSE / SCHEME,B3,0,2022-03-06 21:41:00,2022,3,Sunday,21,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",06,21:41:00,FRAUD - FINANCIAL,Mattapan
10873,BALLISTICS EVIDENCE/FOUND,B3,0,2022-03-06 20:34:00,2022,3,Sunday,20,42.28223905085306,-71.09162955701403,"(42.28223905085306, -71.09162955701403)",06,20:34:00,ARMS RELATED,Mattapan
10874,VERBAL DISPUTE,B3,0,2022-03-06 18:48:00,2022,3,Sunday,18,42.28611951300328,-71.09573992319353,"(42.28611951300328, -71.09573992319353)",06,18:48:00,HARASSMENT-VERBAL,Mattapan
10875,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-06 15:07:00,2022,3,Sunday,15,42.281996337754535,-71.08661102734541,"(42.281996337754535, -71.08661102734541)",06,15:07:00,THEFT-DAMAGE,Mattapan
10876,M/V ACCIDENT - PERSONAL INJURY,B3,0,2022-03-06 18:08:00,2022,3,Sunday,18,42.30091700466814,-71.08373995712593,"(42.30091700466814, -71.08373995712593)",06,18:08:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10877,INVESTIGATE PERSON,B3,0,2022-03-06 15:35:00,2022,3,Sunday,15,42.289454013157055,-71.07280279650941,"(42.289454013157055, -71.07280279650941)",06,15:35:00,WARRANT-INVESTIGATION,Mattapan
10878,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,0,2022-03-06 16:30:00,2022,3,Sunday,16,42.29489000814799,-71.08802994795374,"(42.29489000814799, -71.08802994795374)",06,16:30:00,DRUG ALCOHOL RELATED,Mattapan
10879,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,0,2022-03-06 15:16:00,2022,3,Sunday,15,42.29330376224452,-71.0885899046847,"(42.29330376224452, -71.0885899046847)",06,15:16:00,DRUG ALCOHOL RELATED,Mattapan
10880,VERBAL DISPUTE,B3,0,2022-03-06 12:33:00,2022,3,Sunday,12,42.303160907500725,-71.08515551897415,"(42.303160907500725, -71.08515551897415)",06,12:33:00,HARASSMENT-VERBAL,Mattapan
10881,VANDALISM,B3,0,2022-03-06 14:00:00,2022,3,Sunday,14,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",06,14:00:00,THEFT-DAMAGE,Mattapan
10882,INVESTIGATE PERSON,B3,0,2022-03-06 11:11:00,2022,3,Sunday,11,42.28952852335456,-71.08851422250991,"(42.28952852335456, -71.08851422250991)",06,11:11:00,WARRANT-INVESTIGATION,Mattapan
10883,SICK ASSIST,B3,0,2022-03-06 09:16:00,2022,3,Sunday,9,42.29714530992539,-71.0740952774977,"(42.29714530992539, -71.0740952774977)",06,09:16:00,SICK-INJURED,Mattapan
10884,AUTO THEFT - LEASED/RENTED VEHICLE,B3,0,2022-03-06 10:38:00,2022,3,Sunday,10,42.29190074555734,-71.0902951573443,"(42.29190074555734, -71.0902951573443)",06,10:38:00,THEFT-DAMAGE,Mattapan
10885,INVESTIGATE PROPERTY,B3,0,2022-03-06 10:00:00,2022,3,Sunday,10,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",06,10:00:00,WARRANT-INVESTIGATION,Mattapan
10886,TOWED MOTOR VEHICLE,B3,0,2022-03-06 08:10:00,2022,3,Sunday,8,42.272378173592216,-71.07080768818012,"(42.272378173592216, -71.07080768818012)",06,08:10:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10887,INVESTIGATE PERSON,B3,1,2022-03-06 01:54:00,2022,3,Sunday,1,42.28319808592402,-71.09098656485257,"(42.28319808592402, -71.09098656485257)",06,01:54:00,WARRANT-INVESTIGATION,Mattapan
10888,INVESTIGATE PERSON,B3,0,2022-03-05 22:24:00,2022,3,Saturday,22,42.28810361659959,-71.0915333505867,"(42.288103616599585, -71.0915333505867)",05,22:24:00,WARRANT-INVESTIGATION,Mattapan
10889,M/V ACCIDENT - PROPERTY DAMAGE,B3,0,2022-03-05 20:55:00,2022,3,Saturday,20,42.28410553124766,-71.07687267662088,"(42.28410553124766, -71.07687267662088)",05,20:55:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10890,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B3,0,2022-03-05 18:59:00,2022,3,Saturday,18,42.280893655822176,-71.0803746810546,"(42.280893655822176, -71.0803746810546)",05,18:59:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10891,INVESTIGATE PERSON,B3,0,2022-03-05 17:03:00,2022,3,Saturday,17,42.27791464599671,-71.09452936620902,"(42.27791464599671, -71.09452936620902)",05,17:03:00,WARRANT-INVESTIGATION,Mattapan
10892,ASSAULT - AGGRAVATED,B3,0,2022-03-05 16:26:00,2022,3,Saturday,16,42.297221995836,-71.07627894677861,"(42.297221995836, -71.07627894677861)",05,16:26:00,ASSAULT,Mattapan
10893,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,0,2022-03-05 13:25:00,2022,3,Saturday,13,42.28465991019621,-71.07839996859501,"(42.28465991019621, -71.07839996859501)",05,13:25:00,THEFT-DAMAGE,Mattapan
10894,LARCENY ALL OTHERS,B3,0,2022-03-05 15:34:00,2022,3,Saturday,15,42.28187060713829,-71.08751151911808,"(42.28187060713829, -71.08751151911808)",05,15:34:00,THEFT-DAMAGE,Mattapan
10895,VAL - VIOLATION OF AUTO LAW,B3,0,2022-03-05 13:37:00,2022,3,Saturday,13,42.27791464599671,-71.09452936620902,"(42.27791464599671, -71.09452936620902)",05,13:37:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Mattapan
10896,PROPERTY - LOST/ MISSING,B3,0,2022-03-05 13:30:00,2022,3,Saturday,13,42.269098509623966,-71.0936145778819,"(42.269098509623966, -71.0936145778819)",05,13:30:00,PROPERTY LOSS,Mattapan
10897,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-04 22:00:00,2022,3,Friday,22,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",04,22:00:00,THEFT-DAMAGE,Mattapan
10898,INVESTIGATE PERSON,B3,0,2022-03-05 11:36:00,2022,3,Saturday,11,42.28465991019621,-71.07839996859501,"(42.28465991019621, -71.07839996859501)",05,11:36:00,WARRANT-INVESTIGATION,Mattapan
10899,SUDDEN DEATH,B3,0,2022-03-05 11:41:00,2022,3,Saturday,11,42.28756450953777,-71.08223780745814,"(42.28756450953777, -71.08223780745814)",05,11:41:00,DEATH,Mattapan
10900,AUTO THEFT,B3,0,2022-03-04 21:00:00,2022,3,Friday,21,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",04,21:00:00,THEFT-DAMAGE,Mattapan
10901,MISSING PERSON - LOCATED,B3,0,2022-03-05 09:37:00,2022,3,Saturday,9,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)",05,09:37:00,MISSING PERSON - KIDNAPPING,Mattapan
10902,INVESTIGATE PROPERTY,B3,0,2022-03-05 07:47:00,2022,3,Saturday,7,42.2928107904335,-71.07327594083033,"(42.2928107904335, -71.07327594083033)",05,07:47:00,WARRANT-INVESTIGATION,Mattapan
10903,BURGLARY - RESIDENTIAL,B3,0,2022-03-05 05:22:00,2022,3,Saturday,5,42.29611582635473,-71.09121958234245,"(42.29611582635473, -71.09121958234245)",05,05:22:00,THEFT-DAMAGE,Mattapan
10904,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,2022-03-05 01:50:00,2022,3,Saturday,1,42.2760840173096,-71.09340793894215,"(42.2760840173096, -71.09340793894215)",05,01:50:00,THEFT-DAMAGE,Mattapan
